Date : 2022-09-17 22:36:29
Directory : d:\Coding\cn404\cn404_code
Total : 109 files,  45922 codes, 423 comments, 971 blanks, all 47316 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Coding\cn404\cn404_code\backend\routes\userRoutes.js                              | JavaScript         |         30 |          0 |          7 |         37 |
| d:\Coding\cn404\cn404_code\backend\server-mongo.js                                   | JavaScript         |         78 |          2 |         18 |         98 |
| d:\Coding\cn404\cn404_code\backend\server.js                                         | JavaScript         |         63 |          7 |         12 |         82 |
| d:\Coding\cn404\cn404_code\backend\test.js                                           | JavaScript         |         73 |          9 |         14 |         96 |
| d:\Coding\cn404\cn404_code\backend\test1.js                                          | JavaScript         |         17 |         10 |          4 |         31 |
| d:\Coding\cn404\cn404_code\backend\utils\python\hello.js                             | JavaScript         |         26 |          3 |          8 |         37 |
| d:\Coding\cn404\cn404_code\backend\utils\python\hello1.js                            | JavaScript         |         26 |          3 |          8 |         37 |
| d:\Coding\cn404\cn404_code\backend\utils\python\hello2.js                            | JavaScript         |         26 |          3 |          8 |         37 |
| d:\Coding\cn404\cn404_code\backend\utils\python\hello3.js                            | JavaScript         |         26 |          3 |          8 |         37 |
| d:\Coding\cn404\cn404_code\backend\utils\python\test.py                              | Python             |          1 |          0 |          0 |          1 |
| d:\Coding\cn404\cn404_code\frontend\README.md                                        | Markdown           |         79 |          0 |         31 |        110 |
| d:\Coding\cn404\cn404_code\frontend\jsconfig.json                                    | JSON with Comments |          6 |          0 |          1 |          7 |
| d:\Coding\cn404\cn404_code\frontend\package-lock.json                                | JSON               |     33,979 |          0 |          1 |     33,980 |
| d:\Coding\cn404\cn404_code\frontend\package.json                                     | JSON               |         76 |          0 |          1 |         77 |
| d:\Coding\cn404\cn404_code\frontend\public\index.html                                | HTML               |         26 |         29 |          1 |         56 |
| d:\Coding\cn404\cn404_code\frontend\public\manifest.json                             | JSON               |         25 |          0 |          1 |         26 |
| d:\Coding\cn404\cn404_code\frontend\src\App.jsx                                      | JavaScript React   |        114 |          2 |          9 |        125 |
| d:\Coding\cn404\cn404_code\frontend\src\app.css                                      | CSS                |         19 |          3 |          5 |         27 |
| d:\Coding\cn404\cn404_code\frontend\src\app\store.js                                 | JavaScript         |         17 |          0 |          2 |         19 |
| d:\Coding\cn404\cn404_code\frontend\src\components\AddTeacher.jsx                    | JavaScript React   |         98 |          0 |         12 |        110 |
| d:\Coding\cn404\cn404_code\frontend\src\components\Navbar.jsx                        | JavaScript React   |         84 |         23 |         12 |        119 |
| d:\Coding\cn404\cn404_code\frontend\src\components\navbar.css                        | CSS                |         65 |          3 |         13 |         81 |
| d:\Coding\cn404\cn404_code\frontend\src\features\answer\answerService.js             | JavaScript         |         82 |          4 |         11 |         97 |
| d:\Coding\cn404\cn404_code\frontend\src\features\answer\answerSlice.js               | JavaScript         |        118 |          0 |         14 |        132 |
| d:\Coding\cn404\cn404_code\frontend\src\features\auth\authService.js                 | JavaScript         |         76 |          0 |          8 |         84 |
| d:\Coding\cn404\cn404_code\frontend\src\features\auth\authSlice.js                   | JavaScript         |        109 |          0 |         10 |        119 |
| d:\Coding\cn404\cn404_code\frontend\src\features\course\courseService.js             | JavaScript         |         62 |          0 |          8 |         70 |
| d:\Coding\cn404\cn404_code\frontend\src\features\course\courseSlice.js               | JavaScript         |        105 |          4 |         15 |        124 |
| d:\Coding\cn404\cn404_code\frontend\src\features\enrollment\enrollmentService.js     | JavaScript         |         35 |          0 |          5 |         40 |
| d:\Coding\cn404\cn404_code\frontend\src\features\enrollment\enrollmentSlice.js       | JavaScript         |         69 |          0 |          8 |         77 |
| d:\Coding\cn404\cn404_code\frontend\src\features\question\questionService.js         | JavaScript         |         61 |          0 |          8 |         69 |
| d:\Coding\cn404\cn404_code\frontend\src\features\question\questionSlice.js           | JavaScript         |        104 |          3 |         11 |        118 |
| d:\Coding\cn404\cn404_code\frontend\src\features\quiz\quizService.js                 | JavaScript         |         80 |          0 |          8 |         88 |
| d:\Coding\cn404\cn404_code\frontend\src\features\quiz\quizSlice.js                   | JavaScript         |        117 |          4 |         18 |        139 |
| d:\Coding\cn404\cn404_code\frontend\src\index.js                                     | JavaScript         |         16 |          0 |          5 |         21 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\answer\Answer.jsx                      | JavaScript React   |        166 |         15 |         25 |        206 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\answer\MarkdownRenderer.jsx            | JavaScript React   |         40 |          0 |          4 |         44 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\answer\answer.css                      | CSS                |         45 |          3 |         12 |         60 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\course\AddQuiz.jsx                     | JavaScript React   |        104 |          0 |         12 |        116 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\course\Course.jsx                      | JavaScript React   |        286 |          7 |         23 |        316 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\course\EnrolledStudents.jsx            | JavaScript React   |        190 |          5 |         22 |        217 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\course\course.css                      | CSS                |        124 |          6 |         23 |        153 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\course\enrolled.css                    | CSS                |          6 |          0 |          2 |          8 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\course\student\StudentCoures.jsx       | JavaScript React   |         62 |          0 |          9 |         71 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\course\student\StudentScores.jsx       | JavaScript React   |        115 |          1 |         15 |        131 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\course\student\studentCourse.css       | CSS                |          0 |          0 |          1 |          1 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\dashboard\AddCourse.jsx                | JavaScript React   |        201 |          1 |         18 |        220 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\dashboard\Dashboard.jsx                | JavaScript React   |        214 |         20 |         17 |        251 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\dashboard\Enroll.jsx                   | JavaScript React   |        101 |          0 |         11 |        112 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\dashboard\dashboard.css                | CSS                |         31 |         11 |         11 |         53 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\dashboard\temp-dashboard.jsx           | JavaScript React   |         87 |          0 |         11 |         98 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\login\Login.jsx                        | JavaScript React   |         96 |          1 |         10 |        107 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\login\Signup.jsx                       | JavaScript React   |        206 |          0 |         12 |        218 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\login\login.css                        | CSS                |         34 |          0 |          6 |         40 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\login\signup.css                       | CSS                |         34 |          0 |          6 |         40 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\preview\MarkdownRenderer.jsx           | JavaScript React   |         40 |          0 |          4 |         44 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\preview\Preview.jsx                    | JavaScript React   |        182 |          2 |         23 |        207 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\preview\preview.css                    | CSS                |          0 |          0 |          1 |          1 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\question\MarkdownRenderer.jsx          | JavaScript React   |         39 |          0 |          4 |         43 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\question\Question.jsx                  | JavaScript React   |        469 |         29 |         48 |        546 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\question\Utils.jsx                     | JavaScript React   |        140 |          2 |         17 |        159 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\question\question.css                  | CSS                |         54 |          4 |         13 |         71 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\quiz\Quiz.jsx                          | JavaScript React   |         27 |          0 |          8 |         35 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\quiz\StudentQuiz.jsx                   | JavaScript React   |         54 |          0 |         10 |         64 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\quiz\quiz.css                          | CSS                |         88 |          6 |         17 |        111 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\quiz\student\StudentQuiz.jsx           | JavaScript React   |         22 |          0 |          8 |         30 |
| d:\Coding\cn404\cn404_code\frontend\src\pages\quiz\student\studentQuiz.css           | CSS                |         88 |          6 |         17 |        111 |
| d:\Coding\cn404\cn404_code\frontend\src\utils\theme.js                               | JavaScript         |         52 |          2 |          2 |         56 |
| d:\Coding\cn404\cn404_code\frontend\utils.js                                         | JavaScript         |          5 |          0 |          3 |          8 |
| d:\Coding\cn404\cn404_code\package-lock.json                                         | JSON               |      5,144 |          0 |          1 |      5,145 |
| d:\Coding\cn404\cn404_code\package.json                                              | JSON               |         41 |          0 |          1 |         42 |
| d:\Coding\cn404\cn404_code\patches\passport+0.6.0.patch                              | Diff               |         21 |          0 |          2 |         23 |
| d:\Coding\cn404\cn404_code\test\TestJava.java                                        | Java               |          5 |          0 |          0 |          5 |
| d:\Coding\cn404\cn404_code\test\js_answer.js                                         | JavaScript         |         26 |          3 |          6 |         35 |
| d:\Coding\cn404\cn404_code\test\test_c.c                                             | C                  |          5 |          0 |          3 |          8 |
| d:\Coding\cn404\cn404_code\test\test_cpp.cpp                                         | C++                |          6 |          0 |          1 |          7 |
| d:\Coding\cn404\cn404_code\test\test_js.js                                           | JavaScript         |         39 |         37 |          9 |         85 |
| d:\Coding\cn404\cn404_code\test\test_php.php                                         | PHP                |         11 |          0 |          3 |         14 |
| d:\Coding\cn404\cn404_code\test\test_py.py                                           | Python             |          7 |          4 |          3 |         14 |
| Total                                                                                |                    |     45,922 |        423 |        971 |     47,316 |
+--------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
